v_ego,a_ego,v_cruise_kph,long_state,brake,gas,model_x,model_y,model_v,model_prob,rec_aTarget,rec_hasLead,rec_lead_dRel,vision_l1_present,vision_l1_radar,vision_l1_trackId,vision_l1_dRel,vision_l1_yRel,vision_l1_vLead,vision_l1_aLeadK,vision_l1_modelProb,vision_l2_present,vision_l2_radar,vision_l2_dRel,vision_aTarget,vision_source,vision_fcw,vision_crash_cnt,vision_n_tracks,raw_l1_present,raw_l1_radar,raw_l1_trackId,raw_l1_dRel,raw_l1_yRel,raw_l1_vLead,raw_l1_aLeadK,raw_l1_modelProb,raw_l2_present,raw_l2_radar,raw_l2_dRel,raw_aTarget,raw_source,raw_fcw,raw_crash_cnt,raw_n_tracks,openpilot_l1_present,openpilot_l1_radar,openpilot_l1_trackId,openpilot_l1_dRel,openpilot_l1_yRel,openpilot_l1_vLead,openpilot_l1_aLeadK,openpilot_l1_modelProb,openpilot_l2_present,openpilot_l2_radar,openpilot_l2_dRel,openpilot_aTarget,openpilot_source,openpilot_fcw,openpilot_crash_cnt,openpilot_n_tracks,dt
31.1260,-0.4270,123.0000,pid,0,0,54.3750,-1.1390,29.8120,0.9980,-0.4540,1.0000,52.6050,1,0,-1,52.8550,1.1390,29.3610,-0.0650,0.9980,1,0,52.9170,-0.4221,1,0,0,0,1,1,5,51.1880,1.1560,30.0430,0.1570,0.9980,1,1,51.1880,-0.2151,1,0,0,1,1,1,5,51.1880,1.1560,29.8450,0.1560,0.9980,1,1,51.1880,-0.2543,1,0,0,1,-11.9711
31.1040,-0.4310,123.0000,pid,0,0,54.8440,-1.1540,30.4380,0.9980,-0.4580,1.0000,52.8550,1,0,-1,53.3240,1.1540,29.9450,-0.0490,0.9980,1,0,53.3860,-0.4176,1,0,0,0,1,1,5,50.4380,1.1720,30.2120,0.1980,0.9980,1,1,50.4380,-0.2094,1,0,0,1,1,1,5,50.4380,1.1720,30.0130,0.1970,0.9980,1,1,50.4380,-0.2486,1,0,0,1,-11.9219
31.0840,-0.4570,123.0000,pid,0,0,54.5000,-1.1330,29.7340,0.9980,-0.4600,1.0000,53.3240,1,0,-1,52.9800,1.1330,29.2030,-0.0600,0.9980,1,0,53.0740,-0.4263,1,0,0,0,1,1,5,50.4380,1.1720,30.0730,0.1890,0.9980,1,1,50.4380,-0.2065,1,0,0,1,1,1,5,50.4380,1.1720,29.8750,0.1880,0.9980,1,1,50.4380,-0.2457,1,0,0,1,-11.8892
31.0580,-0.4680,123.0000,pid,0,0,54.8120,-1.1070,30.4220,0.9980,-0.4610,1.0000,52.9800,1,0,-1,53.2920,1.1070,30.0720,-0.0320,0.9980,1,0,53.3240,-0.4158,1,0,0,0,1,1,5,51.1880,1.1560,30.2170,0.2200,0.9980,1,1,51.1880,-0.1994,1,0,0,1,1,1,5,51.1880,1.1560,30.0180,0.2190,0.9980,1,1,51.1880,-0.2385,1,0,0,1,-11.8383
31.0380,-0.4840,123.0000,pid,0,0,54.2810,-1.1120,29.7500,0.9980,-0.4640,1.0000,52.9800,1,0,-1,52.7610,1.1120,29.3800,-0.0650,0.9980,1,0,52.8550,-0.4238,1,0,0,0,1,1,5,51.1880,1.1560,30.1960,0.2360,0.9980,1,1,51.1880,-0.1942,1,0,0,1,1,1,5,51.1880,1.1560,29.9980,0.2350,0.9980,1,1,51.1880,-0.2333,1,0,0,1,-11.7929
31.0040,-0.5270,123.0000,pid,0,0,54.9380,-1.0890,29.3910,0.9980,-0.4640,1.0000,52.7610,1,0,-1,53.4170,1.0890,29.0430,-0.0530,0.9980,1,0,53.5110,-0.4268,1,0,0,0,1,1,5,51.1880,1.1560,30.2090,0.2500,0.9980,1,1,51.1880,-0.1878,1,0,0,1,1,1,5,51.1880,1.1560,30.0110,0.2480,0.9980,1,1,51.1880,-0.2269,1,0,0,1,-11.7397
30.9860,-0.5000,123.0000,pid,0,0,54.2190,-1.0820,29.8120,0.9980,-0.4670,1.0000,52.7610,1,0,-1,52.6990,1.0820,29.3150,-0.0570,0.9980,1,0,52.7920,-0.4283,1,0,0,0,1,1,5,51.6250,1.1410,30.1910,0.2520,0.9980,1,1,51.6250,-0.1817,1,0,0,1,1,1,5,51.6250,1.1410,29.9930,0.2500,0.9980,1,1,51.6250,-0.2208,1,0,0,1,-11.6935
30.9610,-0.4990,123.0000,pid,0,0,53.0940,-1.0870,29.9380,0.9980,-0.4700,1.0000,52.6990,1,0,-1,51.5740,1.0870,29.6220,-0.0640,0.9980,1,0,51.6360,-0.4267,1,0,0,0,1,1,5,54.0000,1.1560,30.1920,0.2510,0.9980,1,1,54.0000,-0.1731,1,0,0,1,1,1,5,54.0000,1.1560,29.9930,0.2490,0.9980,1,1,54.0000,-0.2122,1,0,0,1,-11.6403
30.9330,-0.5270,123.0000,pid,0,0,53.7500,-1.0750,29.6880,0.9990,-0.4720,1.0000,52.6990,1,0,-1,52.2300,1.0750,29.3440,-0.0520,0.9990,1,0,52.3240,-0.4288,1,0,0,0,1,1,5,54.0000,1.1560,30.1640,0.2380,0.9990,1,1,54.0000,-0.1660,1,0,0,1,1,1,5,54.0000,1.1560,29.9650,0.2360,0.9990,1,1,54.0000,-0.2051,1,0,0,1,-11.5933
30.9080,-0.4710,123.0000,pid,0,0,53.5310,-1.0990,29.8910,0.9980,-0.4730,1.0000,52.2300,1,0,-1,52.0110,1.0990,29.4090,-0.0590,0.9990,1,0,52.1050,-0.4282,1,0,0,0,1,1,5,47.5000,1.0470,30.0520,0.1920,0.9990,1,1,47.5000,-0.1667,1,0,0,1,1,1,5,47.5000,1.0470,29.8550,0.1910,0.9990,1,1,47.5000,-0.2058,1,0,0,1,-11.5401
