trackId,dRel,yRel,vRel,slot,age,v_ground,v_range,dt
13,245.9375,0.2188,-12.4056,0,1,21.9750,,-7.7529
13,245.9375,0.2188,-8.8167,0,2,25.5750,,-7.6933
13,144.0000,0.1250,-4.9250,0,3,29.4750,,-7.6330
13,130.8750,0.1094,-6.1194,0,4,28.2750,,-7.5625
13,126.8750,0.0938,-4.1667,0,5,30.2250,,-7.5026
13,124.9375,0.0938,-4.6000,0,6,29.7750,,-7.4528
13,123.8750,0.0938,-3.4028,0,7,30.9750,,-7.3828
13,123.6250,0.3125,0.0306,0,8,34.4250,,-7.3231
13,122.8750,0.3906,-0.7111,0,9,33.6750,,-7.2634
13,122.3750,0.4062,-1.7583,0,10,32.6250,,-7.2024
13,122.0000,0.4062,-2.3722,0,11,32.0250,,-7.1425
13,121.9375,0.1875,-2.7972,0,12,31.5750,,-7.0825
13,119.9375,0.1094,-3.1083,0,13,31.2750,,-7.0227
13,119.1250,0.0781,-2.7861,0,14,31.5750,,-6.9625
13,119.1250,0.0781,-5.0139,0,15,29.3250,,-6.9131
13,112.2500,0.1250,-12.0500,0,16,22.2750,,-6.8432
13,115.5625,0.2969,-11.1528,0,17,23.1750,,-6.7823
13,118.4375,0.1562,-11.1611,0,18,23.1750,-67.4913,-6.7330
13,119.7500,0.3281,-10.8722,0,19,23.4750,-42.6318,-6.6631
13,119.7500,0.3281,-11.1917,0,20,23.1750,-16.5241,-6.6125
13,111.6250,0.3281,-10.8861,0,21,23.4750,-11.3750,-6.5526
13,103.7500,0.3125,-10.7111,0,22,23.6250,-9.4682,-6.4826
13,110.6875,0.1562,-9.9472,0,23,24.3750,-9.2846,-6.4230
13,106.6875,0.2500,-9.7861,0,24,24.5250,-10.0020,-6.3633
13,103.8125,0.2656,-9.1889,0,25,25.1250,-9.9249,-6.3024
13,103.8125,0.2656,-9.3500,0,26,24.9750,-10.4864,-6.2531
13,105.3750,0.0781,-9.9472,0,27,24.3750,-10.3974,-6.1936
13,103.7500,0.2031,-9.3250,0,28,24.9750,-10.2974,-6.1227
13,116.9375,0.0938,-8.9000,0,29,25.4250,-10.2182,-6.0631
13,116.9375,0.0938,-8.7500,0,30,25.5750,-9.8794,-6.0128
13,120.1875,0.0938,-8.2778,0,31,26.0250,-10.5696,-5.9430
13,112.3125,0.2500,-8.8806,0,32,25.4250,-10.4694,-5.8833
13,112.3125,0.2500,-8.7278,0,33,25.5750,-10.1817,-5.8330
13,106.3125,0.0625,-8.4583,0,34,25.8750,-9.7610,-5.7630
13,111.7500,0.0781,-8.1444,0,35,26.1750,-9.7067,-5.7027
13,107.5625,0.2188,-8.4111,0,36,25.8750,-9.7536,-5.6431
13,107.5625,0.2188,-8.4167,0,37,25.8750,-10.4999,-5.5830
13,116.0000,0.3594,-8.5667,0,38,25.7250,-7.1924,-5.5130
13,110.1250,0.3438,-8.4111,0,39,25.8750,-6.7702,-5.4629
13,105.8125,0.3125,-8.1250,0,40,26.1750,-3.6576,-5.3929
13,103.3750,0.2969,-7.8222,0,41,26.4750,-2.2557,-5.3332
13,103.3750,0.2969,-8.1306,0,42,26.1750,-3.0184,-5.2828
13,101.3750,0.2969,-8.2583,0,43,26.0250,-2.2559,-5.2131
13,101.0000,0.2969,-8.1083,0,44,26.1750,-2.6995,-5.1526
13,101.0000,0.2969,-8.4250,0,45,25.8750,-3.4925,-5.1032
13,101.0625,0.2812,-8.1306,0,46,26.1750,-10.6296,-5.0335
13,99.6875,0.2969,-8.2861,0,47,26.0250,-10.5813,-4.9729
13,97.4375,0.2969,-7.9806,0,48,26.3250,-10.5780,-4.9224
13,97.0625,0.2812,-7.3611,0,49,26.9250,-9.2363,-4.8535
13,97.5625,0.2656,-8.1167,0,50,26.1750,-9.2358,-4.7930
13,105.6875,0.3281,-7.3694,0,51,26.9250,-8.9182,-4.7333
13,102.6250,0.3125,-7.3806,0,52,26.9250,-6.9220,-4.6725
13,98.4375,0.2969,-7.4083,0,53,26.9250,-8.2009,-4.6126
13,96.8125,0.2812,-7.2361,0,54,27.0750,-10.6490,-4.5530
13,96.4375,0.2812,-7.7000,0,55,26.6250,-9.4961,-4.4932
13,96.6250,0.2812,-8.2806,0,56,26.0250,-10.3042,-4.4332
13,103.1875,0.3281,-8.1333,0,57,26.1750,-9.4496,-4.3725
13,100.7500,0.2969,-8.4444,0,58,25.8750,-8.2621,-4.3129
13,99.1875,0.2812,-8.4306,0,59,25.8750,-8.2241,-4.2525
13,99.1875,0.2812,-8.7278,0,60,25.5750,-7.3146,-4.2029
13,98.2500,0.2656,-9.1833,0,61,25.1250,-7.3243,-4.1330
13,98.2500,0.2656,-9.2000,0,62,25.1250,-8.3432,-4.0826
13,95.2500,0.2812,-9.0667,0,63,25.2750,-8.3822,-4.0229
13,95.2500,0.2812,-9.0583,0,64,25.2750,-8.2019,-3.9632
13,93.2500,0.2656,-9.0528,0,65,25.2750,-7.1332,-3.8927
13,92.9375,0.2656,-9.9583,0,66,24.3750,-7.3466,-3.8330
13,97.5625,0.2969,-9.4889,0,67,24.8250,-7.3834,-3.7826
13,93.3750,0.2812,-9.6472,0,68,24.6750,-7.7735,-3.7026
13,93.3750,0.2812,-9.0583,0,69,25.2750,-7.7771,-3.6531
13,90.7500,0.2656,-8.7528,0,70,25.5750,-7.7778,-3.5930
13,88.1875,0.1875,-8.6000,0,71,25.7250,-6.9830,-3.5229
13,88.1875,0.1875,-8.3194,0,72,26.0250,-6.9801,-3.4727
13,86.4375,0.2344,-8.0194,0,73,26.3250,-6.9806,-3.4128
13,86.4375,0.2500,-7.4139,0,74,26.9250,-7.3181,-3.3426
13,86.3750,0.2500,-8.0278,0,75,26.3250,-7.3187,-3.2832
13,86.1250,0.2500,-7.4250,0,76,26.9250,-7.3531,-3.2233
13,87.9375,0.1875,-6.6694,0,77,27.6750,-10.4084,-3.1624
13,87.9375,0.1875,-6.6639,0,78,27.6750,-11.5874,-3.1132
13,81.6250,0.2188,-6.0778,0,79,28.2750,-11.5866,-3.0431
13,83.8125,0.2188,-6.2306,0,80,28.1250,-10.3665,-2.9830
13,82.8750,0.2188,-5.7694,0,81,28.5750,-10.3154,-2.9231
13,85.1875,0.2500,-5.3389,0,82,29.0250,-10.3656,-2.8634
13,82.5000,0.2344,-5.4694,0,83,28.8750,-9.3292,-2.8032
13,82.5000,0.2344,-5.3333,0,84,29.0250,-9.1522,-2.7529
13,81.0000,0.2344,-5.1944,0,85,29.1750,-9.2848,-2.6831
13,82.1875,0.2344,-5.3278,0,86,29.0250,-8.9209,-2.6233
13,85.4375,0.2500,-4.8944,0,87,29.4750,-7.5227,-2.5635
13,82.5000,0.2344,-4.5972,0,88,29.7750,-6.1268,-2.5033
13,82.5000,0.2188,-4.7444,0,89,29.6250,-5.7655,-2.4427
13,81.5625,0.2188,-5.0444,0,90,29.3250,-4.9164,-2.3829
13,84.1875,0.2500,-5.0611,0,91,29.3250,-4.6970,-2.3228
13,84.2500,0.2344,-5.2028,0,92,29.1750,-4.6339,-2.2634
13,84.2500,0.2344,-5.2361,0,93,29.1750,-4.6341,-2.2126
13,77.7500,0.0000,-5.5222,0,94,28.8750,-4.6646,-2.1432
13,74.5000,-0.0156,-5.3861,0,95,29.0250,-4.5192,-2.0834
13,74.5000,-0.0156,-5.6694,0,96,28.7250,-3.3226,-2.0328
13,73.5625,-0.0312,-5.5333,0,97,28.8750,-3.3228,-1.9730
13,73.6250,-0.0312,-5.5472,0,98,28.8750,-2.4695,-1.9032
13,74.0000,-0.0312,-5.3972,0,99,29.0250,-2.1644,-1.8427
13,74.2500,-0.0156,-5.2528,0,100,29.1750,-1.7372,-1.7830
13,74.4375,-0.0156,-5.2639,0,101,29.1750,-1.6081,-1.7134
13,74.4375,-0.0156,-5.1111,0,102,29.3250,-1.5550,-1.6630
13,75.0000,-0.0156,-4.9611,0,103,29.4750,-1.5548,-1.5933
13,75.2500,-0.0156,-4.9722,0,104,29.4750,-1.5541,-1.5326
13,75.6250,-0.0156,-4.6722,0,105,29.7750,-1.7071,-1.4725
13,76.3125,-0.0156,-4.5278,0,106,29.9250,-1.7994,-1.4130
