v_ego,a_ego,v_cruise_kph,long_state,brake,gas,model_x,model_y,model_v,model_prob,rec_aTarget,rec_hasLead,rec_lead_dRel,vision_l1_present,vision_l1_radar,vision_l1_trackId,vision_l1_dRel,vision_l1_yRel,vision_l1_vLead,vision_l1_aLeadK,vision_l1_modelProb,vision_l2_present,vision_l2_radar,vision_l2_dRel,vision_aTarget,vision_source,vision_fcw,vision_crash_cnt,vision_n_tracks,raw_l1_present,raw_l1_radar,raw_l1_trackId,raw_l1_dRel,raw_l1_yRel,raw_l1_vLead,raw_l1_aLeadK,raw_l1_modelProb,raw_l2_present,raw_l2_radar,raw_l2_dRel,raw_aTarget,raw_source,raw_fcw,raw_crash_cnt,raw_n_tracks,openpilot_l1_present,openpilot_l1_radar,openpilot_l1_trackId,openpilot_l1_dRel,openpilot_l1_yRel,openpilot_l1_vLead,openpilot_l1_aLeadK,openpilot_l1_modelProb,openpilot_l2_present,openpilot_l2_radar,openpilot_l2_dRel,openpilot_aTarget,openpilot_source,openpilot_fcw,openpilot_crash_cnt,openpilot_n_tracks,dt
21.8340,-0.1980,83.0000,pid,0,0,99.4380,0.0270,21.9840,0.9850,-0.0600,1.0000,100.5430,1,0,-1,97.9180,-0.0270,21.8930,-0.0520,0.9870,1,0,98.0430,0.8844,0,0,0,0,1,0,-1,97.9180,-0.0270,21.8930,-0.0520,0.9870,1,0,98.0430,0.0579,2,0,0,0,1,0,-1,97.9180,-0.0270,21.8930,-0.0520,0.9870,1,0,98.0430,0.8844,0,0,0,0,-11.9831
21.8260,-0.1750,83.0000,pid,0,0,98.0000,-0.0090,22.1720,0.9840,-0.0590,1.0000,100.9800,1,0,-1,96.4800,0.0090,21.9780,-0.0510,0.9860,1,0,96.5430,0.8846,0,0,0,0,1,0,-1,96.4800,0.0090,21.9780,-0.0510,0.9860,1,0,96.5430,0.1315,2,0,0,0,1,0,-1,96.4800,0.0090,21.9780,-0.0510,0.9860,1,0,96.5430,0.8846,0,0,0,0,-11.9333
21.8200,-0.1620,83.0000,pid,0,0,99.1880,-0.0190,21.5620,0.9870,-0.0570,1.0000,97.9180,1,0,-1,97.6680,0.0190,21.5320,-0.0710,0.9870,1,0,97.7930,0.8848,0,0,0,0,1,0,-1,97.6680,0.0190,21.5320,-0.0710,0.9870,1,0,97.7930,0.2000,2,0,0,0,1,0,-1,97.6680,0.0190,21.5320,-0.0710,0.9870,1,0,97.7930,0.8848,0,0,0,0,-11.8837
21.8220,-0.0630,83.0000,pid,0,0,99.7500,-0.0240,21.5940,0.9880,-0.0560,1.0000,97.6680,1,0,-1,98.2300,0.0240,21.5080,-0.0670,0.9880,1,0,98.3550,0.8848,0,0,0,0,1,0,-1,98.2300,0.0240,21.5080,-0.0670,0.9880,1,0,98.3550,0.2702,2,0,0,0,1,0,-1,98.2300,0.0240,21.5080,-0.0670,0.9880,1,0,98.3550,0.8848,0,0,0,0,-11.8121
21.8140,-0.1020,83.0000,pid,0,0,96.2500,0.0170,21.9530,0.9900,-0.0540,1.0000,98.2300,1,0,-1,94.7300,-0.0170,21.9350,-0.0580,0.9900,1,0,94.6680,0.8850,0,0,0,0,1,0,-1,94.7300,-0.0170,21.9350,-0.0580,0.9900,1,0,94.6680,0.3393,2,0,0,0,1,0,-1,94.7300,-0.0170,21.9350,-0.0580,0.9900,1,0,94.6680,0.8850,0,0,0,0,-11.7633
21.8170,-0.0320,83.0000,pid,0,0,100.5620,-0.0200,21.6090,0.9880,-0.0530,1.0000,94.7300,1,0,-1,99.0430,0.0200,21.5940,-0.0580,0.9900,1,0,99.1050,0.8849,0,0,0,0,1,0,-1,99.0430,0.0200,21.5940,-0.0580,0.9900,1,0,99.1050,0.4069,2,0,0,0,1,0,-1,99.0430,0.0200,21.5940,-0.0580,0.9900,1,0,99.1050,0.8849,0,0,0,0,-11.7142
21.8130,-0.0560,83.0000,pid,0,0,98.3120,0.0800,22.1090,0.9890,-0.0510,1.0000,99.0430,1,0,-1,96.7930,-0.0800,22.1660,-0.0520,0.9900,1,0,96.7930,0.8850,0,0,0,0,1,0,-1,96.7930,-0.0800,22.1660,-0.0520,0.9900,1,0,96.7930,0.4769,2,0,0,0,1,0,-1,96.7930,-0.0800,22.1660,-0.0520,0.9900,1,0,96.7930,0.8850,0,0,0,0,-11.6806
21.8070,-0.0750,83.0000,pid,0,0,95.6250,0.1610,21.9220,0.9890,-0.0500,1.0000,99.0430,1,0,-1,94.1050,-0.1610,21.9540,-0.0490,0.9900,1,0,94.1050,0.8851,0,0,0,0,1,0,-1,94.1050,-0.1610,21.9540,-0.0490,0.9900,1,0,94.1050,0.5355,2,0,0,0,1,0,-1,94.1050,-0.1610,21.9540,-0.0490,0.9900,1,0,94.1050,0.8851,0,0,0,0,-11.6331
21.7980,-0.1160,83.0000,pid,0,0,93.8750,0.1200,21.8120,0.9900,-0.0480,1.0000,96.7930,1,0,-1,92.3550,-0.1200,21.8920,-0.0680,0.9900,1,0,92.3550,0.8854,0,0,0,0,1,0,-1,92.3550,-0.1200,21.8920,-0.0680,0.9900,1,0,92.3550,0.5916,1,0,0,0,1,0,-1,92.3550,-0.1200,21.8920,-0.0680,0.9900,1,0,92.3550,0.8854,0,0,0,0,-11.5840
21.7890,-0.1370,83.0000,pid,0,0,97.9380,0.1350,22.0620,0.9850,-0.0470,1.0000,94.1050,1,0,-1,96.4180,-0.1350,22.0580,-0.0600,0.9890,1,0,96.3550,0.8856,0,0,0,0,1,0,-1,96.4180,-0.1350,22.0580,-0.0600,0.9890,1,0,96.3550,0.6516,2,0,0,0,1,0,-1,96.4180,-0.1350,22.0580,-0.0600,0.9890,1,0,96.3550,0.8856,0,0,0,0,-11.5332
