cam_track,h,h_s,v_cam,radar_x,cam_ids_in_window,dt
1,124.7704,123.9550,,34.3750,1,-8.9612
1,123.5702,123.7626,,34.3750,1,-8.9115
1,123.9550,123.5702,,32.6875,1,-8.8615
1,123.4689,123.4689,,32.4375,1,-8.8111
1,123.3870,123.3870,,32.4375,1,-8.7615
1,122.4239,122.4239,,33.9375,1,-8.7111
1,121.8136,121.8136,,34.8125,1,-8.6615
1,121.2806,121.2806,,34.8125,1,-8.6113
1,120.7078,120.7078,,33.0625,1,-8.5615
1,120.1648,120.1648,,33.0625,1,-8.5115
1,119.8268,119.8268,3.1194,33.0625,1,-8.4615
1,119.2821,119.2821,3.3065,35.3125,1,-8.4115
1,118.7800,118.7800,3.4758,36.6875,1,-8.3615
1,117.0954,117.0954,3.5581,37.5000,1,-8.3115
1,116.2207,116.2207,3.5319,37.5000,1,-8.2613
1,115.5885,115.5885,3.2799,38.0000,1,-8.2115
1,114.9013,114.9013,3.1468,38.0000,1,-8.1615
1,114.4722,114.4722,2.8177,35.4375,1,-8.1115
1,114.1215,114.1215,2.9892,35.4375,1,-8.0615
1,113.5366,113.5366,3.3457,36.6250,1,-8.0111
1,113.2652,113.2652,3.4738,37.5625,1,-7.9613
1,112.8242,113.1326,3.4383,39.1250,1,-7.9111
1,113.1326,112.8242,3.2859,39.1250,1,-7.8614
1,112.7082,112.7082,2.8954,39.1250,1,-7.8111
1,112.4904,112.7082,2.5869,38.8750,1,-7.7614
1,112.6726,112.6726,2.8176,38.8750,1,-7.7110
1,112.7787,112.4904,2.9315,37.8125,1,-7.6615
1,112.3796,112.3796,2.8271,37.8125,1,-7.6115
1,111.3265,111.3265,2.8315,39.5000,1,-7.5612
1,109.6041,110.0741,2.9147,39.5000,1,-7.5115
1,110.0741,109.6360,2.9634,37.9375,1,-7.4615
1,109.6360,109.6041,2.9252,37.0000,1,-7.4112
1,109.0128,109.5552,2.8895,37.0000,1,-7.3615
1,109.5552,109.0442,2.8938,37.0000,1,-7.3115
1,109.0442,109.0128,3.1868,38.5000,1,-7.2615
1,107.7982,107.7982,3.3250,39.8750,1,-7.2112
1,106.6481,106.6481,3.3994,41.3750,1,-7.1614
1,106.5098,106.5333,3.2097,39.5000,1,-7.1115
1,106.5333,106.5098,2.9240,40.9375,1,-7.0615
1,105.7508,105.7508,2.7366,40.9375,1,-7.0113
1,105.0718,105.0718,3.0769,38.7500,1,-6.9615
1,104.6708,104.8625,3.6737,39.2500,1,-6.9115
1,104.8625,104.6708,3.7585,39.1875,1,-6.8615
1,104.5523,104.5523,3.5735,39.2500,1,-6.8112
1,103.8675,104.0821,3.5670,39.3125,1,-6.7615
1,103.8136,103.9807,3.0848,39.3125,1,-6.7115
1,104.0821,103.9197,2.7226,40.5000,1,-6.6615
1,103.9807,103.9197,2.5611,38.6875,1,-6.6113
1,103.9197,103.9197,2.6259,37.9375,1,-6.5615
1,103.2030,103.2030,2.7214,42.1250,1,-6.5115
1,101.5676,101.5676,2.9034,42.1875,1,-6.4611
1,100.1624,100.1624,3.0458,42.1875,1,-6.4115
1,99.6644,99.8928,3.0862,43.8125,1,-6.3615
1,99.4079,99.8928,2.8819,41.2500,1,-6.3115
1,99.8928,99.8928,2.8225,42.1875,1,-6.2614
1,101.0479,99.9570,2.8230,42.8750,1,-6.2115
1,101.1580,99.9570,2.9481,42.8750,1,-6.1613
1,99.9570,99.9570,2.9726,42.8750,1,-6.1112
1,99.6522,99.6522,3.2897,45.8750,1,-6.0615
1,99.3599,99.3599,2.8880,42.1875,1,-6.0115
1,98.3186,98.3186,2.2446,40.3750,1,-5.9615
1,97.8036,97.8036,1.9609,43.1250,1,-5.9115
1,97.5261,97.7818,2.2465,43.8125,1,-5.8614
1,97.5725,97.7420,2.2504,43.8125,1,-5.8115
1,97.7818,97.5725,2.6786,43.2500,1,-5.7614
1,97.7420,97.5725,2.6986,40.6875,1,-5.7112
1,97.1906,97.2430,2.9850,43.2500,1,-5.6615
1,96.9511,97.1906,3.1035,44.8750,1,-5.6115
1,97.2430,96.9511,3.0568,44.8750,1,-5.5615
1,96.6031,96.6031,2.7392,41.6875,1,-5.5113
1,96.2714,96.2714,2.3982,42.4375,1,-5.4615
1,95.8582,95.8582,2.2213,42.4375,1,-5.4115
1,95.0633,95.0633,2.2299,42.8125,1,-5.3615
1,95.0529,95.0529,2.5776,42.5625,1,-5.3110
1,94.0925,94.0925,2.6439,42.5625,1,-5.2615
1,93.7662,93.7662,3.0931,42.9375,1,-5.2115
1,93.4912,93.5080,3.1062,43.3750,1,-5.1611
1,93.5080,93.4912,3.1156,43.8750,1,-5.1115
1,93.2977,93.2977,3.2283,46.9375,1,-5.0615
1,92.8736,93.2561,3.0266,46.2500,1,-5.0115
1,93.0988,93.0988,2.8626,46.2500,1,-4.9615
