cam_track,h,h_s,v_cam,radar_x,cam_ids_in_window,dt
201,41.6895,42.3410,,245.9375,3,-7.7718
201,42.3663,42.3450,,245.9375,3,-7.7223
201,42.3410,42.3410,,245.9375,3,-7.6723
201,42.3489,42.3489,,144.0000,3,-7.6223
201,42.1931,42.3410,,130.8750,3,-7.5722
201,42.6557,42.1931,,126.8750,3,-7.5223
201,41.5341,41.9529,,124.9375,3,-7.4721
201,41.5642,41.9529,,124.9375,3,-7.4223
201,41.9529,41.9529,,123.8750,3,-7.3721
201,42.3430,42.2954,,123.6250,3,-7.3223
201,42.7350,42.2954,-0.9603,122.8750,3,-7.2721
201,42.2954,42.3430,-0.9456,122.3750,3,-7.2223
201,42.0405,42.2954,-0.9534,122.0000,3,-7.1721
201,42.6590,42.2188,-1.1031,122.0000,3,-7.1223
201,41.8566,42.2188,-3.1528,121.9375,3,-7.0723
201,42.2188,42.6590,-3.4880,119.9375,3,-7.0221
201,42.8231,42.8231,-3.8577,112.2500,3,-6.8723
201,42.9560,42.9560,-3.1841,112.2500,3,-6.8223
201,43.2439,42.9560,-3.2770,115.5625,3,-6.7723
201,43.1731,42.9560,-2.1817,118.4375,3,-6.7222
201,42.2542,42.7021,-2.2060,119.7500,3,-6.6720
201,41.8971,42.7021,-4.2735,119.7500,3,-6.6221
201,42.7021,42.7021,-4.1683,111.6250,3,-6.5724
201,42.7670,42.7670,-4.6177,111.6250,3,-6.5224
201,43.5472,43.5472,-7.6499,103.7500,3,-6.4724
201,43.8907,43.5472,-7.1292,110.6875,3,-6.4223
201,43.8058,43.5472,-8.4594,106.6875,3,-6.3722
201,43.2646,43.2646,-10.3261,103.8125,3,-6.3223
201,43.1501,43.2646,-10.3254,103.8125,3,-6.2721
201,42.9157,43.1501,-10.4795,105.3750,3,-6.2223
201,44.0169,43.1501,-11.0398,105.3750,3,-6.1723
201,42.9815,44.0169,-10.3529,103.7500,3,-6.1221
201,44.1573,44.0448,-11.6497,116.9375,3,-6.0720
201,44.0448,44.1573,-12.0581,116.9375,3,-6.0223
201,46.3054,45.7322,-10.2928,120.1875,3,-5.9723
201,45.7473,45.7473,-8.0376,120.1875,3,-5.9220
201,45.7322,46.3054,-7.5185,112.3125,3,-5.8723
201,47.6129,47.6129,-2.1474,106.3125,3,-5.7723
201,47.7173,47.6129,7.3932,111.7500,3,-5.7223
201,47.9365,47.6129,6.8434,107.5625,3,-5.6723
201,47.2970,47.5913,6.2482,107.5625,3,-5.6224
201,47.3474,47.3474,-1.0059,107.5625,3,-5.5721
201,47.5913,47.3474,-1.0191,116.0000,3,-5.5223
201,46.2486,47.5913,-0.7203,110.1250,3,-5.4723
201,47.6147,47.5913,,105.8125,3,-5.4223
201,47.7826,46.6740,,105.8125,3,-5.3723
201,46.6740,46.6740,,103.3750,3,-5.3223
201,44.1789,44.1789,,103.3750,3,-5.2722
201,40.3994,40.3994,,101.3750,3,-5.2223
201,38.7747,40.3994,,101.0000,3,-5.1723
201,38.6426,40.3994,,101.0625,3,-5.0223
201,46.0982,44.4861,,99.6875,3,-4.9723
201,46.7894,44.4861,,97.4375,3,-4.9223
201,44.4861,44.4861,,97.0625,3,-4.8723
201,39.5243,41.0980,,96.8125,3,-4.5720
201,41.0980,40.9620,,98.2500,3,-4.0724
201,40.9620,40.9620,,95.2500,3,-4.0223
201,40.8767,41.0980,,95.2500,3,-3.9723
201,41.2862,41.2862,,97.5625,3,-3.7723
201,41.3685,41.2862,,93.3750,3,-3.7223
201,41.8284,41.2862,,88.1875,3,-3.5223
201,40.7164,41.2718,,88.1875,3,-3.4720
201,41.0895,41.2718,,86.4375,3,-3.4223
201,41.2718,41.2718,,86.4375,3,-3.3720
201,42.2812,41.7584,,86.3750,3,-3.2724
201,42.2650,42.2650,,87.9375,3,-3.1722
201,41.7584,42.2812,,81.6250,3,-3.0723
201,42.5549,42.5549,,81.6250,3,-3.0220
201,43.4014,43.0903,,83.8125,3,-2.9723
201,44.3598,43.0903,-3.8085,82.8750,3,-2.9224
201,43.0903,43.0903,-4.4220,85.1875,3,-2.8721
201,42.6685,43.0903,-4.3118,82.5000,3,-2.8224
201,42.6436,43.0903,-5.3970,82.5000,3,-2.7719
201,44.0599,44.0599,-6.2936,82.5000,3,-2.7223
201,44.8970,44.5322,-5.6143,81.0000,3,-2.6723
201,45.6672,44.8042,-5.0459,82.1875,3,-2.6224
201,44.5322,44.8042,-5.5374,85.4375,3,-2.5721
201,44.8042,44.5322,-5.5395,82.5000,3,-2.5224
201,44.3875,44.3875,-4.8501,82.5000,3,-2.4721
201,43.7807,43.7807,-5.3017,82.5000,3,-2.4224
201,43.3395,43.7807,-5.2428,81.5625,3,-2.3720
201,42.9228,43.7807,-6.2665,84.1875,3,-2.3220
201,44.4372,44.4372,-7.1541,84.2500,3,-2.2719
201,44.9836,44.9836,-5.7564,84.2500,3,-2.2223
201,45.0271,45.0035,-4.5861,77.7500,3,-2.1724
201,45.0035,45.0271,-4.1382,77.7500,3,-2.1220
201,45.4554,45.0611,-3.9682,74.5000,3,-2.0724
201,46.2232,45.4554,-5.8014,74.5000,3,-2.0219
201,45.0611,45.6508,-7.0071,73.5625,3,-1.9724
201,45.6508,45.8974,-8.0980,73.6250,3,-1.9222
201,45.8974,45.8974,-8.5915,74.0000,3,-1.8719
201,46.3588,46.3588,-9.0169,74.0000,3,-1.8224
201,46.8383,46.8383,-7.0979,74.2500,3,-1.7719
201,47.9775,47.1194,-6.5372,74.4375,3,-1.7221
201,47.2053,47.1844,-6.8138,74.4375,3,-1.6724
201,47.1194,47.2053,-7.0377,75.0000,3,-1.6224
201,47.1844,47.2053,-7.3930,75.0000,3,-1.5721
201,48.0636,48.0636,-7.0249,75.2500,3,-1.5224
201,48.7308,48.7308,-6.8130,75.6250,3,-1.4718
201,49.0539,48.7623,-6.5619,76.3125,3,-1.4224
201,49.3337,49.0539,-6.5630,76.3125,3,-1.3724
201,48.7623,49.3337,-5.9525,77.8750,3,-1.3219
201,49.4906,49.4906,-5.2352,77.0000,3,-1.1221
201,49.6635,49.6635,-4.6148,73.5625,3,-1.0724
201,49.8940,49.8940,-4.9902,75.6875,3,-1.0224
201,50.3586,50.0490,-4.9831,75.6875,3,-0.9724
201,50.4975,50.3586,-5.6405,77.0000,3,-0.9219
201,50.0490,50.4975,-5.5180,77.8125,3,-0.8723
201,50.6409,50.5332,-4.6039,78.4375,3,-0.8218
201,50.5332,50.5695,-4.5865,78.9375,3,-0.7724
201,50.8255,50.5695,-3.4212,79.1875,3,-0.7223
201,50.5695,50.5332,-3.0231,79.1875,3,-0.6724
201,50.2617,50.5695,-3.2256,79.3125,3,-0.6224
201,50.3757,50.5695,-3.2518,79.4375,3,-0.5724
201,50.8251,50.8251,-3.7683,79.3125,3,-0.5224
201,50.8431,50.8431,-4.9173,79.0000,3,-0.4721
201,51.2695,51.2695,-4.5024,78.8125,3,-0.4223
201,52.0661,52.0661,-4.6410,78.8125,3,-0.3724
201,52.4348,52.0661,-4.9734,75.1250,3,-0.3221
201,52.2121,52.0661,-4.8544,73.5000,3,-0.2724
201,51.1921,51.5049,-7.2195,76.3750,3,-0.2221
201,50.6829,51.5049,-7.4441,78.1875,3,-0.1721
201,51.5049,51.5049,-7.4954,79.3750,3,-0.1224
