cam_track,h,h_s,v_cam,radar_x,cam_ids_in_window,dt
35,49.4036,48.0168,,116.1875,3,-11.3969
35,48.0168,48.1734,,107.5000,3,-11.3469
35,47.6812,48.3299,,107.5000,3,-11.2969
35,48.3299,48.0168,,96.4375,3,-11.2469
35,48.9272,47.6812,,96.4375,3,-11.1969
35,47.4100,48.0291,,94.5625,3,-11.1469
35,47.5485,48.0291,,94.5625,3,-11.0968
35,48.0291,47.8194,,83.7500,3,-11.0468
35,48.0461,47.8194,,81.3125,3,-10.9969
35,47.8194,48.0291,,81.3125,3,-10.9469
35,47.1831,47.9523,-2.3897,82.5000,3,-10.8969
35,48.3181,47.9523,-2.5466,84.1875,3,-10.8469
35,47.9523,48.0314,-2.3116,85.8125,3,-10.7969
35,48.0314,48.3181,-2.8793,85.8125,3,-10.7469
35,48.6648,48.5347,-5.4487,87.7500,3,-10.6969
35,48.5347,48.6626,-5.4964,87.7500,3,-10.6469
35,48.6626,48.6648,-5.5314,88.3125,3,-10.5969
35,49.4495,49.3914,-5.1572,84.5000,3,-10.5469
35,49.3914,49.4495,-4.0553,77.6875,3,-10.4969
35,49.9445,49.4495,-3.7002,81.6875,3,-10.4469
35,49.6373,49.4021,-3.9779,85.3125,3,-10.3969
35,48.8313,49.6262,-3.8088,85.3125,3,-10.3469
35,49.4021,49.6262,-3.7707,87.9375,3,-10.2969
35,49.6262,49.6262,-3.0190,87.9375,3,-10.2469
35,50.6820,50.6820,-2.7215,89.6250,3,-10.1969
35,52.1697,51.0792,-2.5336,90.3750,3,-10.1469
35,51.0792,51.0792,-3.0374,90.5625,3,-10.0969
35,51.3756,51.0792,-2.3334,83.8125,3,-9.9469
35,50.7193,50.7193,-2.2954,85.6875,3,-9.8469
35,50.5491,50.5491,-2.1326,79.5000,3,-9.7969
35,50.4332,50.5463,-1.2296,79.5000,3,-9.7469
35,50.5463,50.4332,-0.6399,79.5000,3,-9.6969
35,50.4170,50.4170,-0.5964,74.0000,3,-9.6469
35,50.2302,50.2302,-0.6241,77.5000,3,-9.5969
35,50.1593,50.2302,0.2774,77.5000,3,-9.5469
35,49.9644,50.2302,0.0959,77.7500,3,-9.4969
35,50.5463,50.5463,-0.4199,77.7500,3,-9.4469
35,51.4196,50.9692,-0.9201,78.2500,3,-9.3969
35,51.3146,50.9692,-2.1780,78.2500,3,-9.3469
35,50.9692,50.9692,-2.5459,81.5000,3,-9.2969
35,50.2720,50.2720,-1.9411,84.3750,3,-9.2467
35,49.7115,50.0790,-2.1059,84.3750,3,-9.1969
35,50.0790,50.0790,-2.1335,84.3750,3,-9.1469
35,49.6684,50.0790,-2.5219,86.8125,3,-9.0969
35,50.4778,50.4778,-2.7409,89.0000,3,-9.0469
35,51.0081,51.0081,-2.7521,89.0000,3,-8.9969
35,51.3912,51.3912,-2.5600,85.8125,3,-8.9469
35,52.1233,51.7015,-1.7749,80.1250,3,-8.8969
35,51.7015,52.1233,-2.6671,80.1250,3,-8.8469
35,52.7040,52.1233,-2.8063,80.7500,3,-8.7969
35,52.1406,51.7015,-3.7718,81.9375,3,-8.7469
35,51.5719,51.6850,-3.6268,82.9375,3,-8.6969
35,51.6850,51.6850,-3.7697,82.9375,3,-8.6469
35,51.3456,51.6850,-3.6295,83.0000,3,-8.5969
35,51.9385,51.7744,-2.1867,83.0000,3,-8.5469
35,51.7744,51.9385,-2.4137,90.5000,3,-8.3969
35,52.2027,52.2027,-1.7240,85.9375,3,-8.3469
35,54.2628,52.2027,0.3386,84.2500,3,-8.2969
35,52.9180,52.8340,0.8055,84.2500,3,-8.2469
35,51.9211,52.9180,0.8178,85.5625,3,-8.1969
35,52.8340,52.8340,0.3428,85.3125,3,-8.1469
35,53.3445,52.5013,0.3142,84.4375,3,-8.0969
35,51.9350,52.5991,0.3181,84.0000,3,-8.0469
35,52.5013,52.5013,0.3181,84.0000,3,-7.9969
35,52.5991,51.9350,0.1102,83.5000,3,-7.9469
35,51.3951,52.5013,-0.8420,84.9375,3,-7.8969
35,51.3671,52.5178,-1.2624,87.0625,3,-7.8469
35,52.6870,51.4775,-1.3777,88.0000,3,-7.7969
35,52.5178,51.5876,-0.5698,80.7500,3,-7.7469
35,51.4775,51.5876,-0.8931,82.8125,3,-7.6969
35,51.5876,51.4775,-0.2840,82.8125,3,-7.6469
35,51.0253,51.4775,-0.8168,82.8125,3,-7.5969
35,50.7393,51.4739,-0.3196,78.0625,3,-7.5469
35,51.7007,51.4739,-0.4812,80.3750,3,-7.4969
35,51.4739,51.7007,-1.3694,80.3750,3,-7.4469
35,52.4468,52.4468,-0.4548,75.8750,3,-7.3969
35,53.2012,52.9520,-1.0204,75.8750,3,-7.3469
35,53.4814,53.0123,-2.6476,78.2500,3,-7.2969
35,52.9520,53.2012,-2.4759,81.3750,3,-7.2469
35,53.0123,53.4814,-2.5076,82.4375,3,-7.1969
35,53.7046,53.0123,-2.6684,78.8750,3,-7.1469
35,53.6658,53.0123,-3.0077,78.8750,3,-7.0969
35,52.2906,52.8107,-4.0654,78.8750,3,-7.0469
35,52.1360,52.8107,-3.9763,74.9375,3,-6.9969
35,52.8107,52.8107,-3.9761,77.5000,3,-6.9469
35,53.2641,52.8107,-3.7012,78.4375,3,-6.8969
35,53.3936,53.2148,-2.9347,78.4375,3,-6.8469
35,52.6293,53.2148,-2.8749,79.3125,3,-6.7969
35,53.2148,53.1516,-2.1685,79.3125,3,-6.7469
35,53.1516,53.1516,-1.4602,80.0000,3,-6.6969
35,53.0419,53.2148,-2.0347,79.6250,3,-6.6469
35,53.4398,53.4398,-2.1683,79.6250,3,-6.5969
35,54.1438,54.1438,-2.5402,78.5000,3,-6.5469
35,54.3686,54.2217,-2.4728,76.3750,3,-6.4969
35,54.2217,54.3686,-3.3247,76.3750,3,-6.4469
35,54.9316,54.9316,-3.5267,80.3750,3,-6.3969
35,55.1649,54.9316,-3.3243,83.2500,3,-6.3469
35,55.3770,54.9316,-3.3243,83.2500,3,-6.2969
35,54.0183,54.6478,-3.6862,80.5625,3,-6.2469
35,54.4479,54.4479,-4.0417,80.5625,3,-6.1969
35,54.6478,54.3583,-3.4384,77.1250,3,-6.1469
35,54.3583,54.4479,-2.8927,77.4375,3,-6.0969
35,54.3420,54.5140,-2.3583,75.1875,3,-6.0469
35,54.5140,54.5140,-2.3048,77.1250,3,-5.9969
35,55.1346,55.1135,-2.1169,72.0000,3,-5.9469
35,55.1135,55.1346,-1.4903,72.0000,3,-5.8969
35,55.3430,55.3430,-1.6175,70.6875,3,-5.8469
35,57.3528,55.3430,-1.8307,70.6875,3,-5.7969
35,55.5930,55.5930,-3.1994,73.0625,3,-5.7469
35,55.0660,55.8342,-3.5680,73.0625,3,-5.6969
35,56.1895,55.5930,-3.7849,73.0625,3,-5.6469
35,55.8342,55.4339,-3.6100,72.0000,3,-5.5969
35,55.2620,55.8342,-3.3935,73.3125,3,-5.5469
35,55.4339,55.8342,-2.9821,73.3125,3,-5.4969
35,55.9568,55.9568,-2.2956,77.8750,3,-5.4469
35,56.0565,56.0565,-2.0682,77.8750,3,-5.3969
35,56.1760,56.1760,-2.0151,79.9375,3,-5.3469
35,56.3421,56.3421,-2.0168,79.9375,3,-5.2969
35,57.1161,57.0430,-1.5804,71.5000,3,-5.2469
35,57.4908,57.1161,-1.2751,72.1250,3,-5.1969
35,57.0430,57.1881,-2.5195,67.6875,3,-5.1469
35,57.4047,57.1881,-2.7177,67.6875,3,-5.0969
35,57.1881,57.0430,-2.2839,67.6875,3,-5.0469
35,55.5681,56.7303,-2.8415,72.1250,3,-4.9969
35,56.5897,56.7303,-2.3554,63.3125,3,-4.9469
35,56.7303,56.5897,-2.2487,63.5625,3,-4.8969
35,57.1403,56.7292,-2.3962,69.5625,3,-4.8469
35,56.4377,56.7303,-2.3155,69.5625,3,-4.7969
