v_ego,a_ego,v_cruise_kph,long_state,brake,gas,model_x,model_y,model_v,model_prob,rec_aTarget,rec_hasLead,rec_lead_dRel,vision_l1_present,vision_l1_radar,vision_l1_trackId,vision_l1_dRel,vision_l1_yRel,vision_l1_vLead,vision_l1_aLeadK,vision_l1_modelProb,vision_l2_present,vision_l2_radar,vision_l2_dRel,vision_aTarget,vision_source,vision_fcw,vision_crash_cnt,vision_n_tracks,raw_l1_present,raw_l1_radar,raw_l1_trackId,raw_l1_dRel,raw_l1_yRel,raw_l1_vLead,raw_l1_aLeadK,raw_l1_modelProb,raw_l2_present,raw_l2_radar,raw_l2_dRel,raw_aTarget,raw_source,raw_fcw,raw_crash_cnt,raw_n_tracks,openpilot_l1_present,openpilot_l1_radar,openpilot_l1_trackId,openpilot_l1_dRel,openpilot_l1_yRel,openpilot_l1_vLead,openpilot_l1_aLeadK,openpilot_l1_modelProb,openpilot_l2_present,openpilot_l2_radar,openpilot_l2_dRel,openpilot_aTarget,openpilot_source,openpilot_fcw,openpilot_crash_cnt,openpilot_n_tracks,dt
20.7710,0.5900,77.0000,off,0,1,69.1880,-0.7800,21.3280,0.9970,-0.0060,1.0000,64.1680,1,0,-1,67.6680,0.7800,21.6030,0.0760,0.9970,1,0,67.7300,0.6178,0,0,0,0,1,1,1,62.1880,0.6560,20.7740,-0.0350,0.9970,1,1,62.1880,0.6178,0,0,0,2,1,1,1,62.1880,0.6560,20.6370,-0.0350,0.9970,1,1,62.1880,0.6178,0,0,0,1,-11.9834
20.8010,0.6940,77.0000,off,0,1,69.7500,-0.7640,21.0780,0.9970,-0.0060,1.0000,67.6680,1,0,-1,68.2300,0.7640,21.3270,0.0770,0.9970,1,0,68.2300,0.6480,0,0,0,0,1,1,1,62.1880,0.6560,20.8040,0.0110,0.9970,1,1,62.1880,0.6480,0,0,0,2,1,1,1,62.1880,0.6560,20.6670,0.0110,0.9970,1,1,62.1880,0.6480,0,0,0,1,-11.9501
20.8210,0.5730,77.0000,off,0,1,68.0000,-0.7180,19.7340,0.9970,-0.0060,1.0000,67.6680,1,0,-1,66.4800,0.7180,19.9650,0.0180,0.9970,1,0,66.5430,0.5678,0,0,0,0,1,1,1,68.1250,0.6090,20.7740,0.0400,0.9970,1,1,68.1250,0.5678,0,0,0,2,1,1,1,68.1250,0.6090,20.6370,0.0400,0.9970,1,1,68.1250,0.5678,0,0,0,1,-11.9017
20.8470,0.5500,77.0000,off,0,1,67.5000,-0.6980,20.2660,0.9980,-0.0050,1.0000,68.2300,1,0,-1,65.9800,0.6980,20.5040,0.0260,0.9980,1,0,65.9800,0.5421,0,0,0,0,1,1,1,68.1250,0.6090,20.9000,0.0990,0.9980,1,1,68.1250,0.5421,0,0,0,2,1,1,1,68.1250,0.6090,20.7620,0.0990,0.9980,1,1,68.1250,0.5421,0,0,0,1,-11.8532
20.8820,0.4810,77.0000,off,0,1,68.1250,-0.7270,20.7970,0.9970,-0.0050,1.0000,65.9800,1,0,-1,66.6050,0.7270,21.0140,0.0520,0.9980,1,0,66.6050,0.5065,0,0,0,0,1,1,1,63.9380,0.6090,20.9660,0.1650,0.9980,1,1,63.9380,0.5065,0,0,0,2,1,1,1,63.9380,0.6090,20.8280,0.1640,0.9980,1,1,63.9380,0.5065,0,0,0,1,-11.7776
20.9280,0.6670,77.0000,off,0,1,67.0620,-0.6560,21.0000,0.9970,-0.0060,1.0000,66.6050,1,0,-1,65.5430,0.6560,21.1880,0.0480,0.9970,1,0,65.4800,0.6219,0,0,0,0,1,1,1,61.5620,0.6250,20.9390,0.2090,0.9970,1,1,61.5620,0.6219,0,0,0,2,1,1,1,61.5620,0.6250,20.8020,0.2070,0.9970,1,1,61.5620,0.6219,0,0,0,1,-11.7282
20.9580,0.6900,77.0000,off,0,1,68.1250,-0.7290,20.5000,0.9970,-0.0060,1.0000,65.5430,1,0,-1,66.6050,0.7290,20.6610,0.0320,0.9970,1,0,66.6050,0.6451,0,0,0,0,1,1,1,60.6250,0.6250,20.6470,0.1580,0.9970,1,1,60.6250,0.6451,0,0,0,2,1,1,1,60.6250,0.6250,20.5110,0.1570,0.9970,1,1,60.6250,0.6451,0,0,0,1,-11.6797
20.9900,0.6720,77.0000,off,0,1,68.3750,-0.7410,20.5780,0.9970,-0.0060,1.0000,66.6050,1,0,-1,66.8550,0.7410,20.8090,0.0570,0.9970,1,0,66.8550,0.6268,0,0,0,0,1,1,1,66.1250,0.5620,20.9070,0.1880,0.9970,1,1,66.1250,0.6268,0,0,0,2,1,1,1,66.1250,0.5620,20.7700,0.1870,0.9970,1,1,66.1250,0.6268,0,0,0,1,-11.6313
21.0270,0.6920,77.0000,off,0,1,69.2500,-0.7280,20.5160,0.9970,-0.0060,1.0000,66.8550,1,0,-1,67.7300,0.7280,20.8210,0.0570,0.9970,1,0,67.6680,0.6464,0,0,0,0,1,1,1,66.1250,0.5620,20.9440,0.2210,0.9970,1,1,66.1250,0.6464,0,0,0,2,1,1,1,66.1250,0.5620,20.8060,0.2200,0.9970,1,1,66.1250,0.6464,0,0,0,1,-11.5816
21.0570,0.6640,77.0000,off,0,1,67.6880,-0.7380,20.3440,0.9960,-0.0060,1.0000,67.7300,1,0,-1,66.1680,0.7380,20.6420,0.0390,0.9970,1,0,66.1680,0.6191,0,0,0,0,1,1,1,68.8120,0.5470,21.0540,0.2760,0.9970,1,1,68.8120,0.6191,0,0,0,2,1,1,1,68.8120,0.5470,20.9160,0.2740,0.9970,1,1,68.8120,0.6191,0,0,0,1,-11.5315
