v_ego,a_ego,v_cruise_kph,long_state,brake,gas,model_x,model_y,model_v,model_prob,rec_aTarget,rec_hasLead,rec_lead_dRel,vision_l1_present,vision_l1_radar,vision_l1_trackId,vision_l1_dRel,vision_l1_yRel,vision_l1_vLead,vision_l1_aLeadK,vision_l1_modelProb,vision_l2_present,vision_l2_radar,vision_l2_dRel,vision_aTarget,vision_source,vision_fcw,vision_crash_cnt,vision_n_tracks,raw_l1_present,raw_l1_radar,raw_l1_trackId,raw_l1_dRel,raw_l1_yRel,raw_l1_vLead,raw_l1_aLeadK,raw_l1_modelProb,raw_l2_present,raw_l2_radar,raw_l2_dRel,raw_aTarget,raw_source,raw_fcw,raw_crash_cnt,raw_n_tracks,openpilot_l1_present,openpilot_l1_radar,openpilot_l1_trackId,openpilot_l1_dRel,openpilot_l1_yRel,openpilot_l1_vLead,openpilot_l1_aLeadK,openpilot_l1_modelProb,openpilot_l2_present,openpilot_l2_radar,openpilot_l2_dRel,openpilot_aTarget,openpilot_source,openpilot_fcw,openpilot_crash_cnt,openpilot_n_tracks,dt
34.8980,0.0350,126.0000,pid,0,0,120.7500,-0.1280,32.8120,0.5070,0.0210,1.0000,121.1050,1,0,-1,119.2300,0.1280,33.1420,-0.0790,0.5200,1,0,119.3550,0.1015,0,0,0,0,1,0,-1,119.2300,0.1280,33.1420,-0.0790,0.5200,1,0,119.3550,0.1015,0,0,0,1,1,0,-1,119.2300,0.1280,33.1420,-0.0790,0.5200,1,0,119.3550,0.1015,0,0,0,1,-11.9608
34.8950,0.0130,126.0000,pid,0,0,120.6250,-0.0740,33.1560,0.4900,0.0210,1.0000,119.2300,1,0,-1,119.1050,0.0740,33.5200,-0.0770,0.5140,1,0,119.2930,0.1048,0,0,0,0,1,1,10,120.2500,0.0620,61.9090,0.0000,0.5140,1,1,120.2500,0.1048,0,0,0,2,1,0,-1,119.1050,0.0740,33.5200,-0.0770,0.5140,1,0,119.2930,0.1048,0,0,0,1,-11.9093
34.9040,0.0760,126.0000,pid,0,0,121.1880,-0.0870,32.8440,0.5810,0.0210,1.0000,119.1050,1,0,-1,119.6680,0.0870,33.2730,-0.0790,0.5810,1,0,119.9180,0.0956,0,0,0,0,1,1,10,120.2500,0.0620,61.9180,0.0030,0.5810,1,1,120.2500,0.0956,0,0,0,2,1,0,-1,119.6680,0.0870,33.2730,-0.0790,0.5810,1,0,119.9180,0.0956,0,0,0,1,-11.8567
34.8820,-0.1450,126.0000,pid,0,0,122.7500,-0.0440,32.4690,0.5200,0.0210,1.0000,119.6680,1,0,-1,121.2300,0.0440,32.8380,-0.0740,0.5680,1,0,121.4180,0.1185,0,0,0,0,1,1,10,118.0620,0.0310,31.4480,-8.6960,0.5680,1,1,118.0620,0.1185,0,0,0,2,1,0,-1,121.2300,0.0440,32.8380,-0.0740,0.5680,1,0,121.4180,0.1185,0,0,0,1,-11.8085
34.8820,-0.1010,126.0000,pid,0,0,121.2500,-0.0390,32.5940,0.6750,0.0210,1.0000,121.2300,1,0,-1,119.7300,0.0390,32.8690,-0.0780,0.6750,1,0,120.1050,0.1183,0,0,0,0,1,1,10,118.0620,0.0310,42.9980,-12.3670,0.6750,1,1,118.0620,0.1183,0,0,0,2,1,0,-1,119.7300,0.0390,32.8690,-0.0780,0.6750,1,0,120.1050,0.1183,0,0,0,1,-11.7618
34.8790,-0.0630,126.0000,pid,0,0,124.6880,0.0180,31.8120,0.5400,0.0220,1.0000,119.7300,1,0,-1,123.1680,-0.0180,32.1980,-0.0800,0.6480,1,0,123.3550,0.1209,0,0,0,0,1,1,10,129.0000,0.0620,39.7600,-16.1080,0.6480,1,1,129.0000,0.1209,0,0,0,2,1,0,-1,123.1680,-0.0180,32.1980,-0.0800,0.6480,1,0,123.3550,0.1209,0,0,0,1,-11.7106
34.8770,-0.0550,126.0000,pid,0,0,124.8750,0.0210,31.1090,0.6600,0.0220,1.0000,123.1680,1,0,-1,123.3550,-0.0210,31.6240,-0.0820,0.6600,1,0,123.6680,0.1231,0,0,0,0,1,1,10,129.7500,0.0620,36.0300,-19.9940,0.6600,1,1,129.7500,0.1231,0,0,0,2,1,0,-1,123.3550,-0.0210,31.6240,-0.0820,0.6600,1,0,123.6680,0.1231,0,0,0,1,-11.6592
34.8740,-0.0540,126.0000,pid,0,0,126.6250,0.0020,32.2190,0.3020,0.0220,1.0000,123.3550,1,0,-1,125.1050,-0.0020,32.6180,-0.0690,0.5880,1,0,125.0430,0.1260,0,0,0,0,1,1,10,129.7500,0.0620,36.0270,-22.8780,0.5880,1,1,129.7500,0.1260,0,0,0,2,1,0,-1,125.1050,-0.0020,32.6180,-0.0690,0.5880,1,0,125.0430,0.1260,0,0,0,1,-11.6086
34.8720,-0.0640,126.0000,pid,0,0,128.6250,-0.0890,32.4060,0.3600,0.0220,1.0000,0.0000,1,0,-1,127.1050,0.0890,32.6160,-0.0560,0.5430,1,0,127.1050,0.1278,0,0,0,0,1,1,10,128.1880,0.0940,29.7000,-26.7090,0.5430,1,1,128.1880,0.1278,0,0,0,2,1,0,-1,127.1050,0.0890,32.6160,-0.0560,0.5430,1,0,127.1050,0.1278,0,0,0,1,-11.5617
34.8610,-0.1120,126.0000,pid,0,0,126.2500,-0.0610,33.4060,0.2790,0.0230,1.0000,127.1050,0,0,-1,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,124.7300,0.1388,0,0,0,0,0,0,-1,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,127.1880,-0.1350,2,0,0,2,0,0,-1,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,124.7300,0.1388,0,0,0,1,-11.5108
