cam_track,h,h_s,v_cam,radar_x,cam_ids_in_window,dt
1,129.0082,128.9979,,31.3125,1,-17.0469
1,128.6947,128.8463,,31.3125,1,-16.9969
1,128.9979,128.7159,,32.7500,1,-16.9469
1,128.6714,128.6947,,33.4375,1,-16.8969
1,128.7159,128.6714,,33.4375,1,-16.8469
1,128.5054,128.5054,,32.5000,1,-16.7969
1,128.1879,128.2529,,33.7500,1,-16.7469
1,127.8611,128.1879,,34.1250,1,-16.6969
1,128.2529,128.1043,,32.9375,1,-16.6469
1,128.1043,127.8611,,32.8750,1,-16.5969
1,127.3578,127.4316,0.9555,32.8750,1,-16.5469
1,126.9706,127.4316,1.1290,35.5000,1,-16.4969
1,127.4316,127.3578,1.3247,35.1250,1,-16.4469
1,127.8355,126.9706,1.4174,35.6875,1,-16.3970
1,126.7295,126.7295,1.4468,36.2500,1,-16.3469
1,126.0746,126.3077,1.3961,35.5000,1,-16.2969
1,126.3077,126.3077,1.3935,35.5000,1,-16.2469
1,126.2334,126.2334,1.6939,39.5000,1,-16.1970
1,126.6476,126.2334,1.6807,39.1875,1,-16.1469
1,125.4635,125.6359,1.6455,39.4375,1,-16.0969
1,125.6359,125.4635,1.5077,39.4375,1,-16.0469
1,124.9763,124.9763,1.4295,37.3125,1,-15.9969
1,124.1456,124.1456,1.4565,37.3125,1,-15.9469
1,123.8849,123.8849,1.6095,39.1875,1,-15.8970
1,123.5150,123.8357,1.4733,36.1250,1,-15.8469
1,123.8357,123.7494,1.4929,37.3125,1,-15.7969
1,123.7494,123.5150,1.5477,37.3125,1,-15.7469
1,122.9231,123.0024,1.6900,37.6875,1,-15.6969
1,122.6184,122.9231,1.6923,37.6875,1,-15.6470
1,123.0024,122.8259,1.5284,36.6875,1,-15.5969
1,122.8259,122.8259,1.6513,37.1250,1,-15.5469
1,122.6694,122.8259,1.5090,37.1250,1,-15.4969
1,122.9364,122.6694,1.3278,38.1875,1,-15.4469
1,122.0482,122.0482,1.3279,38.1875,1,-15.3969
1,121.8655,121.8655,1.3225,38.1875,1,-15.3469
1,121.3727,121.5440,1.3112,37.4375,1,-15.2970
1,121.5440,121.3727,1.2373,37.4375,1,-15.2470
1,120.9079,120.9079,1.0870,37.4375,1,-15.1970
1,120.9006,120.9006,1.3185,42.1250,1,-15.1469
1,120.7094,120.7094,1.5634,42.1250,1,-15.0970
1,120.1902,120.2153,1.4957,39.1875,1,-15.0469
1,120.0632,120.1902,1.6119,38.1250,1,-14.9969
1,120.2153,120.0632,1.6965,37.6250,1,-14.9469
1,119.4420,119.8101,1.7278,40.2500,1,-14.8969
1,119.8101,119.7791,1.7622,41.0625,1,-14.8469
1,119.6537,119.6537,1.8086,41.0625,1,-14.7969
1,119.7791,119.6537,1.7604,41.0625,1,-14.7469
1,119.6180,119.6180,1.6907,42.6250,1,-14.6969
1,119.2651,119.2651,1.6642,42.0000,1,-14.6470
1,118.5041,118.5041,1.9118,43.3125,1,-14.5969
1,118.3948,118.3948,1.6357,40.0000,1,-14.5469
1,117.9323,117.9323,1.6876,40.0000,1,-14.4970
1,117.1026,117.4666,1.6180,38.2500,1,-14.4469
1,117.4666,117.1026,1.5902,38.2500,1,-14.3969
1,116.9254,116.9254,1.7103,39.9375,1,-14.3470
1,116.1537,116.4899,1.8140,39.0000,1,-14.2970
1,116.4899,116.4573,1.8840,40.5625,1,-14.2469
1,116.4573,116.3649,2.0525,40.5625,1,-14.1969
1,116.3649,116.3649,1.9452,40.7500,1,-14.1470
1,115.5714,115.6702,1.6243,39.6875,1,-14.0970
