trackId,dRel,yRel,vRel,slot,age,v_ground,v_range,dt
15,116.1875,0.2500,-3.6667,0.0000,1.0000,17.7750,,-11.4118
15,107.5000,0.1875,-3.5111,0.0000,2.0000,17.9250,,-11.3524
15,107.5000,0.1875,-4.5889,0.0000,3.0000,16.8750,,-11.2919
15,96.4375,0.1406,-2.9250,0.0000,4.0000,18.5250,,-11.2121
15,94.5625,0.1406,-1.5639,0.0000,5.0000,19.8750,,-11.1525
15,94.5625,0.1406,-3.0361,0.0000,6.0000,18.3750,,-11.1123
15,83.7500,0.1094,-3.0361,0.0000,7.0000,18.3750,,-11.0322
15,81.3125,-0.0781,-3.3361,0.0000,8.0000,18.0750,,-10.9723
15,82.5000,-0.1406,-2.5694,0.0000,9.0000,18.8250,,-10.9128
15,84.1875,-0.1719,-2.4000,0.0000,10.0000,18.9750,,-10.8519
15,85.8125,-0.1719,-1.7833,0.0000,11.0000,19.5750,,-10.8025
15,85.8125,-0.1719,-2.6750,0.0000,12.0000,18.6750,,-10.7429
15,87.7500,-0.1719,-2.4083,0.0000,13.0000,18.9750,,-10.6720
15,88.3125,-0.1875,-1.9361,0.0000,14.0000,19.4250,,-10.6126
15,84.5000,-0.2344,-2.7111,0.0000,15.0000,18.6750,,-10.5522
15,77.6875,-0.2500,-4.0194,0.0000,16.0000,17.3250,,-10.4926
15,81.6875,-0.3750,-3.4167,0.0000,17.0000,17.9250,,-10.4323
15,85.3125,-0.4375,-3.5306,0.0000,18.0000,17.7750,-14.2014,-10.3729
15,87.9375,-0.4844,-3.2444,0.0000,19.0000,18.0750,-12.6235,-10.3123
15,87.9375,-0.4844,-3.4222,0.0000,20.0000,17.9250,-11.2302,-10.2629
15,89.6250,-0.5000,-3.0889,0.0000,21.0000,18.2250,-5.9132,-10.1920
15,90.3750,-0.5000,-3.1333,0.0000,22.0000,18.2250,-3.7804,-10.1323
15,90.5625,-0.5000,-3.2472,0.0000,23.0000,18.0750,-3.7614,-10.0726
15,89.9375,-0.6875,-3.0778,0.0000,24.0000,18.2250,1.5011,-10.0130
15,83.8125,-0.7188,-3.1083,0.0000,25.0000,18.2250,1.0110,-9.9424
15,85.6875,-0.7344,-2.9583,0.0000,26.0000,18.3750,-0.8838,-9.8929
15,85.6875,-0.7344,-2.7917,0.0000,27.0000,18.5250,-1.1031,-9.8426
15,79.5000,-0.5938,-2.9472,0.0000,28.0000,18.3750,-1.8904,-9.7721
15,79.5000,-0.5938,-3.1167,0.0000,29.0000,18.2250,-1.3950,-9.7124
15,74.0000,-0.5312,-3.4111,0.0000,30.0000,17.9250,-1.4026,-9.6526
15,77.5000,-0.4219,-4.0417,0.0000,31.0000,17.3250,-1.3786,-9.5919
15,77.5000,-0.4219,-4.3250,0.0000,32.0000,17.0250,0.0915,-9.5322
15,77.7500,-0.6094,-4.6083,0.0000,33.0000,16.7250,0.7011,-9.4725
15,78.2500,-0.6719,-4.4167,0.0000,34.0000,16.8750,0.7045,-9.4129
15,78.2500,-0.6719,-4.6000,0.0000,35.0000,16.7250,0.3063,-9.3522
15,81.5000,-0.7031,-4.4472,0.0000,36.0000,16.8750,-1.1644,-9.2927
15,84.3750,-0.7188,-4.3083,0.0000,37.0000,17.0250,-1.2798,-9.2327
15,84.3750,-0.7188,-4.2722,0.0000,38.0000,17.0250,-2.5433,-9.1722
15,86.8125,-0.7344,-4.4333,0.0000,39.0000,16.8750,-2.6955,-9.1025
15,89.0000,-0.5781,-4.4278,0.0000,40.0000,16.8750,-2.6951,-9.0519
15,89.0000,-0.5781,-4.4167,0.0000,41.0000,16.8750,-2.6813,-8.9919
15,85.8125,-0.4375,-4.2472,0.0000,42.0000,17.0250,-0.3675,-8.9324
15,80.1250,-0.4219,-4.2861,0.0000,43.0000,17.0250,-0.3675,-8.8619
15,80.7500,-0.4219,-4.1278,0.0000,44.0000,17.1750,0.5460,-8.8123
15,81.9375,-0.4219,-4.4444,0.0000,45.0000,16.8750,1.6161,-8.7527
15,82.9375,-0.4219,-4.5861,0.0000,46.0000,16.7250,1.6241,-8.6819
15,82.9375,-0.4219,-4.5917,0.0000,47.0000,16.7250,1.5933,-8.6222
15,83.0000,-0.4219,-4.4139,0.0000,48.0000,16.8750,1.4095,-8.5726
15,84.6875,-0.4219,-4.5694,0.0000,49.0000,16.7250,1.3958,-8.5026
15,86.8750,-0.4375,-4.6000,0.0000,50.0000,16.7250,0.2451,-8.4422
15,90.5000,-0.4531,-4.5611,0.0000,51.0000,16.7250,1.0414,-8.3918
15,85.9375,-0.4375,-4.1139,0.0000,52.0000,17.1750,1.0419,-8.3322
15,84.2500,-0.3438,-4.4139,0.0000,53.0000,16.8750,-1.2865,-8.2726
15,85.5625,-0.3906,-4.2333,0.0000,54.0000,17.0250,-2.6950,-8.2118
15,85.3125,-0.2188,-4.0861,0.0000,55.0000,17.1750,-2.6833,-8.1523
15,84.4375,-0.1719,-4.1194,0.0000,56.0000,17.1750,-3.8919,-8.0919
15,84.0000,-0.1562,-3.9833,0.0000,57.0000,17.3250,-4.0866,-8.0318
15,83.5000,-0.1406,-4.1000,0.0000,58.0000,17.1750,-4.0655,-7.9618
15,84.9375,-0.1406,-4.5444,0.0000,59.0000,16.7250,-3.5800,-7.9018
15,87.0625,-0.1406,-4.5417,0.0000,60.0000,16.7250,-1.2810,-7.8521
15,88.0000,-0.1406,-4.5444,0.0000,61.0000,16.7250,-1.2805,-7.7820
15,80.7500,0.0312,-4.5389,0.0000,62.0000,16.7250,-1.1281,-7.7224
15,82.8125,-0.0156,-4.2167,0.0000,63.0000,17.0250,-1.6240,-7.6728
15,82.8125,-0.0156,-4.0861,0.0000,64.0000,17.1750,-1.6322,-7.6128
15,78.0625,0.0625,-4.0333,0.0000,65.0000,17.1750,-1.6541,-7.5522
15,80.3750,-0.0938,-3.8889,0.0000,66.0000,17.3250,-2.4813,-7.4725
15,80.3750,-0.0938,-4.3556,0.0000,67.0000,16.8750,-2.7132,-7.4325
15,75.8750,0.0156,-4.4972,0.0000,68.0000,16.7250,-2.6102,-7.3723
15,78.2500,0.0938,-3.8889,0.0000,69.0000,17.3250,-2.6221,-7.3126
15,81.3750,0.1250,-4.0694,0.0000,70.0000,17.1750,-2.4392,-7.2523
15,82.4375,0.1406,-3.7639,0.0000,71.0000,17.4750,-3.8235,-7.1919
15,78.8750,0.1406,-3.9306,0.0000,72.0000,17.3250,-3.5676,-7.1224
15,78.8750,0.1406,-3.8944,0.0000,73.0000,17.3250,-3.5672,-7.0630
15,74.9375,0.1250,-3.5972,0.0000,74.0000,17.6250,-4.4914,-7.0025
15,77.5000,0.2969,-3.7250,0.0000,75.0000,17.4750,-6.0974,-6.9319
15,78.4375,0.3594,-3.5944,0.0000,76.0000,17.6250,-6.3124,-6.8723
15,79.3125,0.3906,-3.5694,0.0000,77.0000,17.6250,-6.3095,-6.8128
15,79.3125,0.3906,-3.5972,0.0000,78.0000,17.6250,-6.3122,-6.7623
15,80.0000,0.4062,-3.2778,0.0000,79.0000,17.9250,-4.7551,-6.7029
15,79.6250,0.4062,-3.7417,0.0000,80.0000,17.4750,-4.7322,-6.6422
15,79.6250,0.4062,-3.3194,0.0000,81.0000,17.9250,-3.6100,-6.5927
15,78.5000,0.4375,-3.8944,0.0000,82.0000,17.3250,-3.4452,-6.5322
15,76.3750,0.4375,-3.6139,0.0000,83.0000,17.6250,-1.2312,-6.4624
15,80.3750,0.5938,-3.6167,0.0000,84.0000,17.6250,-0.1820,-6.3920
15,83.2500,0.6719,-3.1500,0.0000,85.0000,18.0750,-1.2193,-6.3326
15,83.2500,0.6719,-3.1528,0.0000,86.0000,18.0750,-4.0048,-6.2823
15,80.5625,0.7188,-3.0111,0.0000,87.0000,18.2250,-3.5973,-6.2227
15,77.1250,0.7812,-2.7250,0.0000,88.0000,18.5250,-3.5810,-6.1522
15,77.4375,0.9531,-2.4278,0.0000,89.0000,18.8250,-5.4562,-6.1027
15,75.1875,1.0469,-2.2722,0.0000,90.0000,18.9750,-5.4289,-6.0420
15,77.1250,1.1250,-2.3056,0.0000,91.0000,18.9750,-5.2167,-5.9724
15,72.0000,1.2812,-1.8278,0.0000,92.0000,19.4250,-5.5547,-5.9219
