v_ego,a_ego,v_cruise_kph,long_state,brake,gas,model_x,model_y,model_v,model_prob,rec_aTarget,rec_hasLead,rec_lead_dRel,vision_l1_present,vision_l1_radar,vision_l1_trackId,vision_l1_dRel,vision_l1_yRel,vision_l1_vLead,vision_l1_aLeadK,vision_l1_modelProb,vision_l2_present,vision_l2_radar,vision_l2_dRel,vision_aTarget,vision_source,vision_fcw,vision_crash_cnt,vision_n_tracks,raw_l1_present,raw_l1_radar,raw_l1_trackId,raw_l1_dRel,raw_l1_yRel,raw_l1_vLead,raw_l1_aLeadK,raw_l1_modelProb,raw_l2_present,raw_l2_radar,raw_l2_dRel,raw_aTarget,raw_source,raw_fcw,raw_crash_cnt,raw_n_tracks,openpilot_l1_present,openpilot_l1_radar,openpilot_l1_trackId,openpilot_l1_dRel,openpilot_l1_yRel,openpilot_l1_vLead,openpilot_l1_aLeadK,openpilot_l1_modelProb,openpilot_l2_present,openpilot_l2_radar,openpilot_l2_dRel,openpilot_aTarget,openpilot_source,openpilot_fcw,openpilot_crash_cnt,openpilot_n_tracks,dt
33.7950,0.1390,126.0000,off,0,1,68.1250,-0.2100,33.1250,0.9960,0.0000,1.0000,65.6680,1,0,-1,66.6050,0.2100,33.0840,-0.0150,0.9960,1,0,66.5430,0.1507,1,0,0,0,1,1,13,63.1880,0.2340,32.3360,1.7160,0.9960,1,1,63.1880,0.1732,0,0,0,2,1,1,13,63.1880,0.2340,32.1240,1.7040,0.9960,1,1,63.1880,0.1732,0,0,0,2,-11.9966
33.7950,0.0990,126.0000,off,0,1,70.3120,-0.2310,33.0620,0.9950,0.0000,1.0000,65.6680,1,0,-1,68.7930,0.2310,33.0600,-0.0160,0.9960,1,0,68.8550,0.1327,0,0,0,0,1,1,13,59.8750,0.2500,32.6540,1.4990,0.9960,1,1,59.8750,0.1327,0,0,0,2,1,1,13,59.8750,0.2500,32.4390,1.4890,0.9960,1,1,59.8750,0.1327,0,0,0,2,-11.9531
33.8020,0.1130,126.0000,off,0,1,68.5000,-0.2050,33.2500,0.9960,0.0000,1.0000,68.7930,1,0,-1,66.9800,0.2050,33.2540,-0.0230,0.9960,1,0,66.9800,0.1476,0,0,0,0,1,1,13,58.5000,0.2500,32.9320,1.3810,0.9960,1,1,58.5000,0.1476,0,0,0,2,1,1,13,58.5000,0.2500,32.7160,1.3720,0.9960,1,1,58.5000,0.1476,0,0,0,2,-11.8976
33.8040,0.0840,126.0000,off,0,1,67.3750,-0.2030,33.0310,0.9950,0.0000,1.0000,66.9800,1,0,-1,65.8550,0.2030,33.0570,-0.0260,0.9960,1,0,65.8550,0.0997,1,0,0,0,1,1,13,63.5000,0.2340,32.6510,1.1850,0.9960,1,1,63.5000,0.1179,0,0,0,2,1,1,13,63.5000,0.2340,32.4370,1.1770,0.9960,1,1,63.5000,0.1179,0,0,0,2,-11.8481
33.8060,0.0640,126.0000,off,0,1,63.7500,-0.1410,32.8120,0.9940,0.0000,1.0000,65.8550,1,0,-1,62.2300,0.1410,32.7830,-0.0290,0.9960,1,0,62.2610,0.0218,1,0,0,0,1,1,13,63.5000,0.2340,32.6530,1.0080,0.9960,1,1,63.5000,0.0986,0,0,0,2,1,1,13,63.5000,0.2340,32.4380,1.0020,0.9960,1,1,63.5000,0.0986,0,0,0,2,-11.7991
33.8140,0.1090,126.0000,off,0,1,62.1250,-0.1680,32.4380,0.9940,0.0000,1.0000,62.2300,1,0,-1,60.6050,0.1680,32.6040,-0.0370,0.9950,1,0,60.6670,0.0144,1,0,0,0,1,1,13,66.5620,0.2190,32.6500,0.8490,0.9950,1,1,66.5620,0.1432,0,0,0,2,1,1,13,66.5620,0.2190,32.4350,0.8430,0.9950,1,1,66.5620,0.1432,0,0,0,2,-11.7495
33.8190,0.0730,126.0000,off,0,1,63.0620,-0.1210,32.7190,0.9940,0.0000,1.0000,60.6050,1,0,-1,61.5420,0.1210,32.8340,-0.0350,0.9950,1,0,61.6050,0.0258,1,0,0,0,1,1,13,67.6250,0.2190,32.7860,0.7460,0.9950,1,1,67.6250,0.1075,0,0,0,2,1,1,13,67.6250,0.2190,32.5700,0.7410,0.9950,1,1,67.6250,0.1075,0,0,0,2,-11.6788
33.8230,0.0920,126.0000,off,0,1,60.2190,-0.1200,32.7810,0.9950,0.0000,1.0000,61.5420,1,0,-1,58.6990,0.1200,32.9390,-0.0350,0.9950,1,0,58.6990,0.0285,1,0,0,0,1,1,13,67.5000,0.2190,32.3460,0.5250,0.9950,1,1,67.5000,0.1265,0,0,0,2,1,1,13,67.5000,0.2190,32.1330,0.5220,0.9950,1,1,67.5000,0.1265,0,0,0,2,-11.6461
33.8340,0.1430,126.0000,off,0,1,62.1250,-0.1040,32.8750,0.9970,0.0000,1.0000,61.5420,1,0,-1,60.6050,0.1040,33.0050,-0.0320,0.9970,1,0,60.5740,0.0864,1,0,0,0,1,1,13,62.5000,0.2190,32.3590,0.3420,0.9970,1,1,62.5000,0.0578,1,0,0,2,1,1,13,62.5000,0.2190,32.1460,0.3400,0.9970,1,1,62.5000,0.0313,1,0,0,2,-11.6036
33.8300,0.0620,126.0000,off,0,1,62.3440,-0.0850,33.0620,0.9970,0.0000,1.0000,60.6050,1,0,-1,60.8240,0.0850,33.1890,-0.0250,0.9970,1,0,60.7920,0.0570,1,0,0,0,1,1,13,60.3120,0.2190,32.5110,0.2310,0.9970,1,1,60.3120,-0.0063,1,0,0,2,1,1,13,60.3120,0.2190,32.2970,0.2290,0.9970,1,1,60.3120,-0.0331,1,0,0,2,-11.5469
33.8400,0.1150,126.0000,off,0,1,62.8750,-0.0670,33.3440,0.9950,0.0000,1.0000,60.8240,1,0,-1,61.3550,0.0670,33.3300,-0.0220,0.9970,1,0,61.3860,0.1149,1,0,0,0,1,1,13,60.3120,0.2190,32.5210,0.1400,0.9970,1,1,60.3120,0.0218,1,0,0,2,1,1,13,60.3120,0.2190,32.3070,0.1390,0.9970,1,1,60.3120,-0.0050,1,0,0,2,-11.4984
33.8450,0.1030,126.0000,off,0,1,59.0940,-0.0950,33.0000,0.9960,0.0000,1.0000,61.3550,1,0,-1,57.5740,0.0950,33.0100,-0.0260,0.9960,1,0,57.5740,0.0342,1,0,0,0,1,1,13,59.6250,0.2340,32.6500,0.1000,0.9960,1,1,59.6250,0.0199,1,0,0,2,1,1,13,59.6250,0.2340,32.4360,0.1000,0.9960,1,1,59.6250,-0.0070,1,0,0,2,-11.4482
