cam_track,h,h_s,v_cam,radar_x,cam_ids_in_window,dt
1,63.8480,63.8480,,54.8750,1,-8.4657
1,64.0366,63.7734,,55.0000,1,-8.4157
1,63.6988,63.8480,,55.0000,1,-8.3657
1,62.9203,64.0366,,62.2500,1,-8.3157
1,64.1799,64.1799,,62.0000,1,-8.2157
1,65.2714,64.4104,,61.5625,1,-8.1657
1,65.6837,65.2714,,61.9375,1,-8.1157
1,64.4104,65.6837,,62.0625,1,-7.9657
1,66.9380,65.8992,,62.0625,1,-7.9157
1,66.9826,65.8992,,63.5000,1,-7.8657
1,65.8992,66.9380,-5.4393,63.5000,1,-7.8157
1,65.8925,66.9826,-5.5001,63.4375,1,-7.7657
1,67.4399,67.2154,-4.9739,57.9375,1,-7.7157
1,67.2154,67.4399,-6.0028,57.7500,1,-7.6657
1,67.5827,67.5827,-6.6245,57.7500,1,-7.6157
1,67.7870,67.7870,-7.1058,62.8750,1,-7.5657
1,70.5153,70.0578,-6.4574,64.1875,1,-7.5157
1,70.0578,70.5153,-7.2397,64.3750,1,-7.4657
1,71.3156,70.5153,-7.0370,64.5000,1,-7.4157
1,71.5187,70.2954,-5.7392,64.1875,1,-7.3657
1,70.2954,70.2954,-4.2432,66.2500,1,-7.3157
1,69.8163,70.2954,-3.2400,66.2500,1,-7.2657
1,70.1423,70.2954,-2.3194,65.4375,1,-7.2157
1,71.9467,71.9467,-2.0590,64.2500,1,-7.1657
1,72.5760,72.5760,-1.7629,63.1250,1,-7.1157
1,72.7229,72.7229,-1.5483,62.4375,1,-7.0657
1,73.7209,72.7229,0.4323,62.2500,1,-7.0157
1,74.3007,73.3114,0.9726,62.2500,1,-6.9657
1,71.9140,73.3114,1.1916,62.2500,1,-6.9157
1,73.3114,71.9140,1.0255,64.3750,1,-6.8657
1,71.2630,71.2630,0.5472,64.8750,1,-6.8157
1,70.2628,70.2628,-0.9489,65.1875,1,-6.7657
1,69.4510,69.5845,-1.6670,65.6875,1,-6.7157
1,68.4530,69.5845,-0.1066,65.6875,1,-6.6657
1,69.5845,69.4510,0.4787,65.6875,1,-6.6157
1,69.9869,69.4479,1.0698,63.8750,1,-6.5657
1,69.4479,69.5845,1.0626,63.4375,1,-6.5157
1,69.1961,69.4479,1.5862,63.4375,1,-6.4656
1,69.7185,69.2099,1.2847,63.7500,1,-6.4157
1,68.8177,69.2099,-0.6130,66.5625,1,-6.3657
1,69.2099,69.7185,-1.3049,68.7500,1,-6.3157
1,71.3026,71.3026,-2.2982,68.7500,1,-6.2657
1,72.0609,72.0609,-3.0380,70.1250,1,-6.2157
1,72.4159,72.0609,-3.0981,69.9375,1,-6.1657
1,72.8504,72.0609,-3.6314,69.9375,1,-6.1157
1,71.5428,71.5428,-3.5724,67.7500,1,-6.0657
1,71.2191,71.5428,-3.4589,67.7500,1,-6.0156
1,71.2233,71.5428,-3.3812,63.6250,1,-5.9657
1,71.8826,71.8826,-3.8618,63.6250,1,-5.9157
1,73.0996,72.5645,-3.9321,60.7500,1,-5.8657
1,72.5987,72.5987,-3.4761,60.7500,1,-5.8157
1,72.5645,72.5987,-1.9064,63.1250,1,-5.7657
1,72.6679,72.5987,-2.1040,66.5625,1,-5.7157
1,72.3148,72.6679,-2.1040,66.5625,1,-5.6657
1,73.6325,73.0718,-2.1619,68.4375,1,-5.6157
1,73.0718,73.1236,-3.3409,64.1250,1,-5.5656
1,73.1236,73.1474,-3.6970,64.1250,1,-5.5157
1,73.1474,73.1474,-3.7236,64.1250,1,-5.4657
1,73.7211,73.4366,-3.9156,62.8750,1,-5.4157
1,73.4366,73.7211,-3.1149,59.1250,1,-5.3657
1,74.7162,73.7211,-3.0893,61.3125,1,-5.3157
1,74.7933,73.4366,-2.9931,60.1250,1,-5.2657
1,73.2299,74.3226,-2.9931,60.1250,1,-5.2157
1,72.6923,74.3226,-2.6208,60.0625,1,-5.1657
1,74.3226,74.3226,-2.2664,61.1875,1,-5.1156
1,75.2781,75.2781,-2.2353,61.5625,1,-5.0657
1,75.6875,75.6875,-2.2345,62.1250,1,-5.0157
1,76.3891,75.7183,-2.2010,62.1250,1,-4.9657
1,76.7401,76.3891,-1.8939,63.9375,1,-4.9157
1,75.7183,76.3891,-1.6975,63.9375,1,-4.8656
1,76.5515,76.2574,-1.5731,61.4375,1,-4.8157
1,76.2108,76.2108,-1.8444,60.3750,1,-4.7657
1,76.2574,76.2108,-1.1022,60.3750,1,-4.7156
1,75.1762,75.8274,-1.5302,60.5000,1,-4.6656
1,75.7612,75.7612,-1.5410,60.9375,1,-4.6156
1,75.8274,75.7612,-0.7431,60.9375,1,-4.5656
1,75.5925,75.7612,-0.4366,61.3125,1,-4.5156
1,75.8270,75.7214,-0.8324,61.5000,1,-4.4656
1,75.5864,75.5925,-0.4111,61.7500,1,-4.4156
1,75.7214,75.6579,-0.9659,59.0000,1,-4.3657
1,75.1848,75.5864,-1.2682,59.0000,1,-4.3157
1,75.6579,75.6579,-1.4746,63.2500,1,-4.2657
1,75.5648,75.6579,-1.6153,61.5625,1,-4.2157
1,76.1791,76.1791,-1.9430,61.8750,1,-4.1657
1,76.2153,76.1791,-2.4919,61.8750,1,-4.1157
1,76.7251,76.1791,-3.2422,59.2500,1,-4.0657
1,76.0047,76.2153,-3.2717,59.2500,1,-4.0157
1,75.4309,76.7251,-4.6419,59.9375,1,-3.9657
1,76.8871,76.8871,-4.7849,59.9375,1,-3.9157
1,77.6179,77.6179,-5.5104,58.5625,1,-3.8657
1,79.0031,77.8723,-5.2985,54.6250,1,-3.8157
1,77.8723,77.9657,-5.3863,54.6250,1,-3.7657
1,77.9657,78.1873,-5.5339,54.6250,1,-3.7157
1,78.1873,78.1873,-5.7216,57.3750,1,-3.6657
1,78.7983,78.7983,-5.4354,52.2500,1,-3.6157
1,79.9127,79.9127,-5.3955,51.6250,1,-3.5657
1,79.9515,79.9515,-5.3925,51.6250,1,-3.5157
1,81.7126,81.6617,-5.4271,55.3125,1,-3.4657
